Sensitive Activities,Background Size,Confidence Privacy
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied')",1,746.6612647060855
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied')",2,760.8288467481681
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied')",3,639.8114311119589
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied')",4,514.4631586696751
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Shortened completion ', 'W_Personal Loan collection')",1,1584477.8564992135
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Shortened completion ', 'W_Personal Loan collection')",2,1596653.527523101
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Shortened completion ', 'W_Personal Loan collection')",3,1256226.3311831208
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Shortened completion ', 'W_Personal Loan collection')",4,885122.7905190195
"('O_Sent (online only)', 'W_Assess potential fraud', 'A_Denied', 'W_Personal Loan collection')",1,1560572.1442539582
"('O_Sent (online only)', 'W_Assess potential fraud', 'A_Denied', 'W_Personal Loan collection')",2,1545870.057395588
"('O_Sent (online only)', 'W_Assess potential fraud', 'A_Denied', 'W_Personal Loan collection')",3,1184968.9118128147
"('O_Sent (online only)', 'W_Assess potential fraud', 'A_Denied', 'W_Personal Loan collection')",4,807610.1189161073
"('O_Sent (online only)', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",1,1561516.4948432157
"('O_Sent (online only)', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",2,1546839.2293628107
"('O_Sent (online only)', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",3,1183677.6221910284
"('O_Sent (online only)', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",4,803496.4611316419
"('O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied')",1,745.3759437180323
"('O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied')",2,753.2448955306019
"('O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied')",3,623.3387226195089
"('O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied')",4,489.51727237179375
"('O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'W_Personal Loan collection')",1,1561538.0335091585
"('O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'W_Personal Loan collection')",2,1546811.1009275538
"('O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'W_Personal Loan collection')",3,1183610.9992119772
"('O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'W_Personal Loan collection')",4,803413.311970444
"('O_Refused', 'W_Assess potential fraud', 'A_Denied', 'W_Personal Loan collection')",1,1537631.6018160053
"('O_Refused', 'W_Assess potential fraud', 'A_Denied', 'W_Personal Loan collection')",2,1499240.215024422
"('O_Refused', 'W_Assess potential fraud', 'A_Denied', 'W_Personal Loan collection')",3,1117606.8667246453
"('O_Refused', 'W_Assess potential fraud', 'A_Denied', 'W_Personal Loan collection')",4,732536.2432754912
"('O_Refused', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",1,1538576.671468729
"('O_Refused', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",2,1500191.7851784872
"('O_Refused', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",3,1117736.9107559242
"('O_Refused', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",4,731596.8085302028
"('W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",1,1561265.6102619858
"('W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",2,1546530.594893257
"('W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",3,1183378.9036721708
"('W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",4,803236.4554137777
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied')",1,780.8702628099096
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied')",2,822.9282079678375
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied')",3,711.5426324025317
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied')",4,584.9932882022022
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'W_Personal Loan collection')",1,1635896.9870830465
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'W_Personal Loan collection')",2,1697385.6323008717
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'W_Personal Loan collection')",3,1366760.0761481556
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'W_Personal Loan collection')",4,979365.9805505314
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'A_Denied', 'W_Personal Loan collection')",1,1610852.9075880174
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'A_Denied', 'W_Personal Loan collection')",2,1643272.877751886
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'A_Denied', 'W_Personal Loan collection')",3,1285762.6741160334
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'A_Denied', 'W_Personal Loan collection')",4,886019.6883718295
"('O_Sent (online only)', 'O_Refused', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",1,1611842.2272529542
"('O_Sent (online only)', 'O_Refused', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",2,1644315.0134563032
"('O_Sent (online only)', 'O_Refused', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",3,1286645.9051679359
"('O_Sent (online only)', 'O_Refused', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",4,886716.1095907551
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",1,1635611.5913002943
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",2,1697077.8203694357
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",3,1366492.0667109217
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",4,979150.3912734215
"('O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",1,1611579.3957869038
"('O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",2,1643988.2196705746
"('O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",3,1286328.6615961283
"('O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",4,886441.2505641987
