Sensitive Activities,Background Size,Confidence Privacy
"('CODE NOK', 'SET STATUS', 'REJECT')",2,47.88094017064744
"('CODE NOK', 'SET STATUS', 'REJECT')",3,18.533125250372713
"('CODE NOK', 'SET STATUS', 'REJECT')",4,8.813259699159293
"('CODE NOK', 'SET STATUS', 'CODE ERROR')",1,20349.987230866194
"('CODE NOK', 'SET STATUS', 'CODE ERROR')",2,9083.475620858468
"('CODE NOK', 'SET STATUS', 'CODE ERROR')",3,3718.571837406631
"('CODE NOK', 'SET STATUS', 'CODE ERROR')",4,1732.6743976482144
"('CODE NOK', 'SET STATUS', 'REOPEN')",1,100.36467852426249
"('CODE NOK', 'SET STATUS', 'REOPEN')",2,35.6697388317258
"('CODE NOK', 'SET STATUS', 'REOPEN')",3,11.67762409375971
"('CODE NOK', 'SET STATUS', 'REOPEN')",4,4.9744408325568426
"('CODE NOK', 'SET STATUS', 'STORNO')",1,108.86416604030583
"('CODE NOK', 'SET STATUS', 'STORNO')",2,41.31089366212549
"('CODE NOK', 'SET STATUS', 'STORNO')",3,14.915706316291846
"('CODE NOK', 'SET STATUS', 'STORNO')",4,6.863360203018475
"('CODE NOK', 'SET STATUS', 'JOIN-PAT')",1,212.7713599354096
"('CODE NOK', 'SET STATUS', 'JOIN-PAT')",2,112.35612368857926
"('CODE NOK', 'SET STATUS', 'JOIN-PAT')",3,58.71856814190233
"('CODE NOK', 'SET STATUS', 'JOIN-PAT')",4,33.102859561269234
"('CODE NOK', 'SET STATUS', 'MANUAL')",1,1105.5871477246483
"('CODE NOK', 'SET STATUS', 'MANUAL')",2,429.79259201546336
"('CODE NOK', 'SET STATUS', 'MANUAL')",3,151.53283452416233
"('CODE NOK', 'SET STATUS', 'MANUAL')",4,64.74731030135086
"('CODE NOK', 'SET STATUS', 'CHANGE END')",1,5759.44723349455
"('CODE NOK', 'SET STATUS', 'CHANGE END')",2,2367.5635820710395
"('CODE NOK', 'SET STATUS', 'CHANGE END')",3,869.5772100209637
"('CODE NOK', 'SET STATUS', 'CHANGE END')",4,366.9691641880526
"('CODE NOK', 'SET STATUS', 'DELETE')",1,98.72951891648495
"('CODE NOK', 'SET STATUS', 'DELETE')",2,34.6177672558932
"('CODE NOK', 'SET STATUS', 'DELETE')",3,10.82056618307593
"('CODE NOK', 'SET STATUS', 'DELETE')",4,4.360483085693978
"('CODE NOK', 'ZDBC_BEHAN', 'REJECT')",1,135108305.2017147
"('CODE NOK', 'ZDBC_BEHAN', 'REJECT')",2,65334625.71467669
"('CODE NOK', 'ZDBC_BEHAN', 'REJECT')",3,28965449.74051591
"('CODE NOK', 'ZDBC_BEHAN', 'REJECT')",4,13916987.250351597
